cpu_brand,cpu_modifier,cpu_model,core,thread,base_freq,max_freq,integrated_gpu,cache
AMD,Ryzen 5,2500U,8-Apr,,2,3.6,AMD Radeon Vega 8 Graphics,4
AMD,Ryzen 7,2700U,8-Apr,,2.2,3.8,AMD Radeon Vega 10 Graphics,4
Intel,Core i5,4300M,4-Feb,,2.6,3.3,Intel HD Graphics 4600,3
Intel,Core i5,4300U,4-Feb,,1.9,2.9,Intel HD Graphics 4000,3
Intel,Pentium,4415U,4-Feb,,2.4,,Intel HD Graphics 610,2
Intel,Core i7,4600U,4-Feb,,2.1,3.3,Intel HD Graphics 4400,4
Intel,Core i7,4710HQ,8-Apr,,2.5,3.5,Intel HD Graphics 4600,6
Intel,Core i7,4800MQ,8-Apr,,2.7,3.7,Intel HD Graphics 4600,6
Intel,Core i7,4810MQ,8-Apr,,2.8,3.7,Intel HD Graphics 4600,6
Intel,Core i7,4900MQ,8-Apr,,2.8,3.8,Intel HD Graphics 4600,6
Intel ,Core i5,5200U,4-Feb,,2.3,2.9,Intel HD Graphics 5500,3
Intel ,Core i5,5300U,4-Feb,,2.3,2.9,Intel HD Graphics 5500,3
Intel ,Core i7,5600U,4-Feb,,2.6,3.2,Intel HD Graphics 5500,4
Intel,Core i3,6006U,4-Feb,,2,,Intel HD Graphics 520,3
Intel,Core i3,6100U,4-Feb,,2.3,,Intel HD Graphics 520,3
Intel ,Core i5,6300U,4-Feb,,2.4,3,Intel HD Graphics 520,3
Intel,Core i7,6600U,4-Feb,,2.6,3.4,Intel HD Graphics 520,4
Intel,Core i7,6700HQ,8-Apr,,2.6,3.5,Intel HD Graphics 530,6
Intel,Core i7,6820HQ,8-Apr,,2.7,3.6,Intel HD Graphics 530,8
Intel,Core i3,7020U,4-Feb,,2.3,,Intel HD Graphics 620,3
Intel,Core i3,7100U,4-Feb,,2.4,,Intel HD Graphics 620,3
Intel ,Core i3,7130U,4-Feb,,2.7,,Intel HD Graphics 620,3
Intel ,Core i5,7200U,4-Feb,,2.5,3.1,Intel HD Graphics 620,3
Intel ,Core i5,7267U,4-Feb,,3.1,3.5,Intel Iris Plus Graphics 650,4
Intel,Core i5,7300HQ,4-Apr,,2.5,3.5,Intel HD Graphics 630,6
Intel ,Core i5,7300U,4-Feb,,2.6,3.6,Intel HD Graphics 620,3
Intel,Core i7,7500U,4-Feb,,2.7,3.5,Intel HD Graphics 620,4
Intel ,Core i7,7600U,4-Feb,,2.8,3.9,Intel HD Graphics 620,4
Intel ,Core i7,7700HQ,8-Apr,,2.8,3.8,Intel HD Graphics 630,6
Intel,Core i7,7820HQ,8-Apr,,2.9,3.9,Intel HD Graphics 630,8
Intel ,Core i5,7Y54,4-Feb,,1.2,3.2,Intel HD Graphics 615,4
Intel ,Core i7,7Y75,4-Feb,,1.3,3.6,Intel HD Graphics 615,4
Intel,Core i3,8130U,4-Feb,,2.2,3.4,Intel UHD Graphics 630,4
Intel ,Core i3,8145U,4-Feb,,2.1,3.9,Intel UHD Graphics 620,4
Intel,Core i5,8250U,8-Apr,,1.6,3.4,Intel HD Graphics 620,6
Intel,Core i5,8265U,8-Apr,,1.6,3.9,Intel HD Graphics 620,6
Intel,Core i5,8300H,8-Apr,,2.3,4,Intel UHD Graphics 630,8
Intel,Core i7,8550U,8-Apr,,1.8,4,Intel HD Graphics 620,8
Intel ,Core i7,8565U,8-Apr,,1.8,4.6,Intel HD Graphics 620,8
Intel,Core i7,8750H,12-Jun,,2.2,4.1,Intel UHD Graphics 630,9
Intel,Core i7,8850H,12-Jun,,2.6,4.3,Intel UHD Graphics 630,9
Intel,Core i9,8950HK,6-Jan,12-Jan,2.9,4.8,Intel UHD Graphics 630,12
AMD,,A9-9125,2-Feb,,2.3,2.6,AMD Radeon R3 Graphics,1
AMD,,A9-9420,2-Feb,,3,3.6,AMD Radeon R5 Graphics,1
AMD,,A9-9425,2-Feb,,3.1,3.7,AMD Radeon R5 Graphics,1
Intel,,Core M,4-Feb,,1.1,,Intel HD Graphics 5300,2
Intel,,Core m3,4-Feb,,1.2,,Intel HD Graphics 615,2
Intel,,Core m5,4-Feb,,1.1,,Intel HD Graphics 515,2
Intel,,Core m7,4-Feb,,1.2,,Intel HD Graphics 515,2
Intel,Celeron,N3350,2-Feb,,1.1,2.4,Intel HD Graphics 500,2
Intel,Pentium,N3710,4-Apr,,1.6,2.6,Intel HD Graphics 405,2
Intel,Celeron,N4000,2-Feb,,1.1,2.6,Intel UHD Graphics 600,4
Intel,Pentium,N4200,4-Apr,,1.1,2,Intel HD Graphics 505,2
Intel,Pentium,N5000,4-Apr,,1.1,2.7,Intel UHD Graphics 605,4
