cpu_brand_id,cpu_modifier,cpu_model
1,"Xeon E",2176M
1,"Xeon E",2186M
2,"Ryzen 3",2200U
2,"Ryzen 3",2300U
2,"Ryzen 5",2500U
2,"Ryzen 5",2600H
2,"Ryzen 7",2700U
2,"Ryzen 7",2800H
1,Celeron,3865U
1,Celeron,3965U
1,Pentium,4410Y
1,Pentium,4415U
1,"Core i3",7020U
1,"Core i3",7100H
1,"Core i3",7100U
1,"Core i3",7130U
1,"Core i3",7167U
1,"Core i5",7200U
1,"Core i5",7260U
1,"Core i5",7267U
1,"Core i5",7287U
1,"Core i5",7300HQ
1,"Core i5",7300U
1,"Core i5",7360U
1,"Core i5",7440HQ
1,"Core i7",7500U
1,"Core i7",7560U
1,"Core i7",7567U
1,"Core i7",7600U
1,"Core i7",7660U
1,"Core i7",7700HQ
1,"Core i7",7820HK
1,"Core i7",7820HQ
1,"Core i7",7920HQ
1,"Core m3",7Y30
1,"Core m3",7Y32
1,"Core i5",7Y54
1,"Core i5",7Y57
1,"Core i7",7Y75
1,"Core i3",8100H
1,"Core i3",8109U
1,"Core i3",8130U
1,"Core i5",8250U
1,"Core i5",8259U
1,"Core i5",8269U
1,"Core i5",8300H
1,"Core i5",8350U
1,"Core i5",8400H
1,"Core i7",8550U
1,"Core i7",8559U
1,"Core i7",8650U
1,"Core i7",8750H
1,"Core i7",8850H
1,"Core i9",8950HK
