gpu_brand,gpu_modifier,gpu_model,gpu_capacity1,gpu_capacity2,gpu_bus_type
1,"GeForce GTX",1050,2,4,GDDR5
1,"GeForce GTX","1050 Max-Q",2,4,GDDR5
1,"GeForce GTX","1050 Ti",4,NULL,GDDR5
1,"GeForce GTX","1050 Ti Max-Q",4,NULL,GDDR5
1,"GeForce GTX",1060,3,6,GDDR5
1,"GeForce GTX","1060 Max-Q",3,6,GDDR5
1,"GeForce GTX",1070,8,NULL,GDDR5
1,"GeForce GTX","1070 Max-Q",8,NULL,GDDR5
1,"GeForce GTX",1080,8,NULL,GDDR5X
1,"GeForce GTX","1080 Max-Q",8,NULL,GDDR5X
2,"Radeon Pro",555,2,NULL,GDDR5
2,"Radeon Pro",555X,4,NULL,GDDR5
2,"Radeon Pro",560,4,NULL,GDDR5
2,"Radeon Pro",560X,4,NULL,GDDR5
2,"Radeon Pro",570,4,NULL,GDDR5
2,"Radeon Pro",575,4,NULL,GDDR5
2,"Radeon Pro",580,8,NULL,GDDR5
1,GeForce,910M,1,2,DDR3
1,GeForce,920M,1,2,DDR3
1,GeForce,920MX,2,NULL,GDDR5
1,GeForce,930M,2,NULL,DDR3
1,GeForce,930MX,2,NULL,GDDR5
1,GeForce,940M,2,NULL,GDDR5
1,GeForce,940MX,2,4,GDDR5
1,"GeForce GT",945A,2,NULL,DDR3
1,GeForce,945M,2,NULL,GDDR5
1,"GeForce GTX",950M,2,4,GDDR5
1,"GeForce GTX",960M,2,4,GDDR5
1,"GeForce GTX",965M,2,4,GDDR5
1,"GeForce GTX",970M,3,6,GDDR5
1,"GeForce GTX",980,4,8,GDDR5
1,"GeForce GTX",980M,4,8,GDDR5
1,GeForce,MX110,2,NULL,GDDR5
1,GeForce,MX130,2,NULL,GDDR5
1,GeForce,MX150,2,4,GDDR5
