Brand,Series,Model,CPU Name,VGA,RAM,Stored,Battery,Display
ACER,Aspire 5,A515-51-89UP,Core i7-8550U,Integrated,8,1TB HDD,4 cell 48 Wh,15.6' FHD 
ACER,Aspire 5,A517-51-82HA,Core i7-8550U,Integrated,8,1TB HDD,4 cell 48 Wh,17.3' HD+ 
ACER,Aspire 5,A515-51G-84SN,Core i7-8550U,NVIDIA MX 150,12,1TB HDD + 256GB SSD,4 cell 48 Wh,15.6' FHD 
ACER,Aspire 7,A715-72G-71CT,Core i7-8750H,NVIDIA GTX 1050 ,8,1TB HDD + 128GB SSD,4 cell 48Wh,15.6' FHD
ACER,Switch 5,SW512-52-76FW,Core i7-7500U,Integrated,8,256GB SSD,2 cell 39Wh,12' QHD 2K touch
ACER,Switch 7,SW713-51GNP-879G,Core i7-8550U,NVIDIA MX 150,16,512GB SSD,2 cell 49Wh,13.3 QHD 2K touch
ACER,Spin 3,SP314-51-338Y,Core i3-8130U,Integrated,4,128GB SSD,3 cell 52Wh,14' FHD touch
ACER,Spin 3,SP314-51-59NM,Core i5-8250U,Integrated,8,256GB SSD,3 cell 52Wh,14' FHD touch
ACER,Spin 5,SP515-51N-51GH,Core i5-8250U,Integrated,8,256GB SSD,4 cell 48Wh,15.6' FHD touch
ACER,Spin 5,SP515-51GN-52B3,Core i7-8550U,NVIDIA GTX 1050 ,8,1TB HDD,4 cell 48Wh,15.6' FHD touch
ACER,Spin 7,SP714-51-M33X,Core i7-7Y75,Intel HD Graphics 615,8,256GB SSD,4 cell 48Wh,14' FHD touch
ACER,Swift 3,SF314-54-53BQ,Core i5-8250U,Integrated,8,256GB SSD,4 cell 48Wh,14' FHD 
ACER,Swift 3,SF315-41-R8PP,Ryzen 5 2500U,Radeon Vega 8,8,256GB SSD,4 cell 48Wh,15.6' FHD
ACER,Swift 3,SF315-41G-R6MP,Ryzen 7 2700U,AMD Radeon RX 540,8,256GB SSD,4 cell 48Wh,15.6' FHD
ACER,Swift 3,SF313-51-50WL,Core i5-8250U,Integrated,8,256GB SSD,4 cell 48Wh,13.3' FHD
ACER,Swift 7,SF714- 51T-M9HO,Core i7-7Y75,Integrated,8,256GB SSD,4 cell 48Wh,14' FHD
ACER,Aspire VX5,VX5-591G-52YZ,Core i5-7300HQ,NVIDIA GTX 1050 ,8,1TB HDD + 128GB SSD,3 cell 52Wh,15.6' FHD
ACER,Aspire VX5,VX5-591G-70XM,Core i7-7700HQ,NVIDIA GTX 1050 ,8,1TB HDD + 128GB SSD,3 cell 52Wh,15.6' FHD
ACER,Nitro 5 ,AN515-52-51LM,Core i7-8300H,NVIDIA GTX 1050Ti,8,1TB HDD + 128GB SSD,4 cell 48Wh,15.6' FHD
ACER,Nitro 5 ,AN515-52-75FT,Core i7-8750H,NVIDIA GTX 1050Ti,8,1TB HDD + 128GB SSD,4 cell 48Wh,15.6' FHD
ACER,Nitro 5 ,AN515-52-70TD,Core i7-8750H,NVIDIA GTX 1050Ti,8,1TB HDD,4 cell 48Wh,15.6' FHD
ACER,Nitro 5 ,AN515-54-5507,Core i5-8300H,NVIDIA GTX 1050,8,1TB HDD,4 cell 55Wh,15.6' FHD
ACER,Nitro 5 ,AN515-54-59WX,Core i5-8300H,NVIDIA GTX 1650,8,1TB HDD,4 cell 55Wh,15.6' FHD
ACER,Nitro 5 ,AN515-54-71UP,Core i7-8750H,NVIDIA GTX 1050 ,8,256GB SSD,4 cell 58Wh,15.6' FHD
ACER,Nitro 5 ,AN515-54-7882,Core i7-8750H,NVIDIA GTX 1650,8,256GB SSD,4 cell 58Wh,15.6' FHD
ACER,Predator Helios 300,PH315-51-7533,Core i7-8750H,NVIDIA GTX 1060,8,1TB HDD + 128GB SSD,4 cell 48Wh,15.6' FHD
ACER,Predator Helios 300,PH315-51-77BQ,Core i7-8750H,NVIDIA GTX 1060,8,1TB HDD + 256GB SSD,4 cell 48 Wh,15.6' FHD
ACER,Predator Helios 300,PH315-52-78HH,Core i7-9758H,NVIDIA GTX 1660Ti,8,256GB SSD,4 cell 58Wh,15.6' FHD
ACER,Predator Helios 300,PH315-52-7688,Core i7-9758H,NVIDIA RTX 2060,16,256GB SSD,4 cell 58Wh,15.6' FHD
ACER,Predator Helios 500,PH517-51-90KL,Core i9-890HK,NVIDIA GTX 1070 ,32,2TB HDD + 512GB SSD,4 cell 82Wh,15.6' FHD
ACER,Predator Helios 500,PH517-51-71S9,Core i7-8750H,NVIDIA GTX 1070 ,32,256GB SSD,4 cell 82Wh,15.6' FHD
ACER,Predator Triton 500,PT515-51-7391,Core i7-8750H,NVIDIA RTX 2060,16,256GB SSD,4 cell 82Wh,15.6' FHD
ACER,Predator Triton 500,PT515-51-7398,Core i7-8750H,NVIDIA RTX 2070,16,256GB SSD,4 cell 82Wh,15.6' FHD
ACER,Predator Triton 500,PT515-51-79ZP,Core i7-8750H,NVIDIA RTX 2080,32,512GB SSD,4 cell 82Wh,15.6' FHD
